new_pos=(0, 0), new_pos_sym='\\', direction=1
new_pos=(17, 19), new_pos_sym='.', direction=-1
new_pos=(17, 18), new_pos_sym='.', direction=-1
new_pos=(17, 17), new_pos_sym='.', direction=-1
new_pos=(17, 16), new_pos_sym='.', direction=-1
new_pos=(17, 15), new_pos_sym='.', direction=-1
new_pos=(17, 14), new_pos_sym='.', direction=-1
new_pos=(17, 13), new_pos_sym='.', direction=-1
new_pos=(17, 12), new_pos_sym='.', direction=-1
new_pos=(17, 11), new_pos_sym='.', direction=-1
new_pos=(17, 10), new_pos_sym='.', direction=-1
new_pos=(17, 9), new_pos_sym='.', direction=-1
new_pos=(17, 8), new_pos_sym='.', direction=-1
new_pos=(17, 7), new_pos_sym='.', direction=-1
new_pos=(17, 6), new_pos_sym='.', direction=-1
new_pos=(17, 5), new_pos_sym='.', direction=-1
new_pos=(17, 4), new_pos_sym='.', direction=-1
new_pos=(17, 3), new_pos_sym='.', direction=-1
new_pos=(17, 2), new_pos_sym='.', direction=-1
new_pos=(17, 1), new_pos_sym='.', direction=-1
new_pos=(17, 0), new_pos_sym='.', direction=-1
one beam left the map
new_pos=(17, 25), new_pos_sym='.', direction=1
new_pos=(17, 26), new_pos_sym='.', direction=1
new_pos=(17, 27), new_pos_sym='.', direction=1
new_pos=(17, 28), new_pos_sym='/', direction=1
new_pos=(16, 28), new_pos_sym='.', direction=2
new_pos=(15, 28), new_pos_sym='.', direction=2
new_pos=(14, 28), new_pos_sym='\\', direction=2
new_pos=(14, 27), new_pos_sym='.', direction=-1
new_pos=(14, 26), new_pos_sym='.', direction=-1
new_pos=(14, 25), new_pos_sym='.', direction=-1
new_pos=(14, 24), new_pos_sym='.', direction=-1
new_pos=(14, 23), new_pos_sym='.', direction=-1
new_pos=(14, 22), new_pos_sym='.', direction=-1
new_pos=(14, 21), new_pos_sym='.', direction=-1
new_pos=(14, 20), new_pos_sym='.', direction=-1
new_pos=(14, 19), new_pos_sym='.', direction=-1
new_pos=(14, 18), new_pos_sym='.', direction=-1
new_pos=(14, 17), new_pos_sym='|', direction=-1
new_pos=(13, 17), new_pos_sym='.', direction=2
new_pos=(12, 17), new_pos_sym='.', direction=2
new_pos=(11, 17), new_pos_sym='.', direction=2
new_pos=(10, 17), new_pos_sym='.', direction=2
new_pos=(9, 17), new_pos_sym='.', direction=2
new_pos=(8, 17), new_pos_sym='.', direction=2
new_pos=(7, 17), new_pos_sym='.', direction=2
new_pos=(6, 17), new_pos_sym='.', direction=2
new_pos=(5, 17), new_pos_sym='.', direction=2
new_pos=(4, 17), new_pos_sym='.', direction=2
new_pos=(3, 17), new_pos_sym='.', direction=2
new_pos=(2, 17), new_pos_sym='.', direction=2
new_pos=(1, 17), new_pos_sym='.', direction=2
new_pos=(0, 17), new_pos_sym='.', direction=2
one beam left the map
new_pos=(15, 17), new_pos_sym='.', direction=-2
new_pos=(16, 17), new_pos_sym='.', direction=-2
new_pos=(17, 17), new_pos_sym='.', direction=-2
new_pos=(18, 17), new_pos_sym='/', direction=-2
new_pos=(18, 16), new_pos_sym='.', direction=-1
new_pos=(18, 15), new_pos_sym='.', direction=-1
new_pos=(18, 14), new_pos_sym='.', direction=-1
new_pos=(18, 13), new_pos_sym='.', direction=-1
new_pos=(18, 12), new_pos_sym='.', direction=-1
new_pos=(18, 11), new_pos_sym='.', direction=-1
new_pos=(18, 10), new_pos_sym='-', direction=-1
new_pos=(18, 9), new_pos_sym='.', direction=-1
new_pos=(18, 8), new_pos_sym='.', direction=-1
new_pos=(18, 7), new_pos_sym='.', direction=-1
new_pos=(18, 6), new_pos_sym='.', direction=-1
new_pos=(18, 5), new_pos_sym='.', direction=-1
new_pos=(18, 4), new_pos_sym='.', direction=-1
new_pos=(18, 3), new_pos_sym='.', direction=-1
new_pos=(18, 2), new_pos_sym='.', direction=-1
new_pos=(18, 1), new_pos_sym='.', direction=-1
new_pos=(18, 0), new_pos_sym='\\', direction=-1
new_pos=(17, 0), new_pos_sym='.', direction=2
new_pos=(16, 0), new_pos_sym='.', direction=2
new_pos=(15, 0), new_pos_sym='-', direction=2
one beam left the map
new_pos=(3, 31), new_pos_sym='.', direction=1
new_pos=(3, 32), new_pos_sym='.', direction=1
new_pos=(3, 33), new_pos_sym='.', direction=1
new_pos=(3, 34), new_pos_sym='.', direction=1
new_pos=(3, 35), new_pos_sym='.', direction=1
new_pos=(3, 36), new_pos_sym='.', direction=1
new_pos=(3, 37), new_pos_sym='.', direction=1
new_pos=(3, 38), new_pos_sym='.', direction=1
new_pos=(3, 39), new_pos_sym='.', direction=1
new_pos=(3, 40), new_pos_sym='.', direction=1
new_pos=(3, 41), new_pos_sym='.', direction=1
new_pos=(3, 42), new_pos_sym='.', direction=1
new_pos=(3, 43), new_pos_sym='.', direction=1
new_pos=(3, 44), new_pos_sym='.', direction=1
new_pos=(3, 45), new_pos_sym='.', direction=1
new_pos=(3, 46), new_pos_sym='.', direction=1
new_pos=(3, 47), new_pos_sym='.', direction=1
new_pos=(3, 48), new_pos_sym='.', direction=1
new_pos=(3, 49), new_pos_sym='.', direction=1
new_pos=(3, 50), new_pos_sym='.', direction=1
new_pos=(3, 51), new_pos_sym='.', direction=1
new_pos=(3, 52), new_pos_sym='.', direction=1
new_pos=(3, 53), new_pos_sym='.', direction=1
new_pos=(3, 54), new_pos_sym='-', direction=1
new_pos=(3, 55), new_pos_sym='.', direction=1
new_pos=(3, 56), new_pos_sym='.', direction=1
new_pos=(3, 57), new_pos_sym='.', direction=1
new_pos=(3, 58), new_pos_sym='.', direction=1
new_pos=(3, 59), new_pos_sym='.', direction=1
new_pos=(3, 60), new_pos_sym='.', direction=1
new_pos=(3, 61), new_pos_sym='.', direction=1
new_pos=(3, 62), new_pos_sym='.', direction=1
new_pos=(3, 63), new_pos_sym='\\', direction=1
new_pos=(4, 63), new_pos_sym='.', direction=-2
new_pos=(5, 63), new_pos_sym='.', direction=-2
new_pos=(6, 63), new_pos_sym='.', direction=-2
new_pos=(7, 63), new_pos_sym='.', direction=-2
new_pos=(8, 63), new_pos_sym='.', direction=-2
new_pos=(9, 63), new_pos_sym='\\', direction=-2
new_pos=(9, 64), new_pos_sym='-', direction=1
new_pos=(9, 65), new_pos_sym='.', direction=1
new_pos=(9, 66), new_pos_sym='.', direction=1
new_pos=(9, 67), new_pos_sym='-', direction=1
new_pos=(9, 68), new_pos_sym='.', direction=1
new_pos=(9, 69), new_pos_sym='.', direction=1
new_pos=(9, 70), new_pos_sym='.', direction=1
new_pos=(9, 71), new_pos_sym='|', direction=1
new_pos=(8, 71), new_pos_sym='.', direction=2
new_pos=(7, 71), new_pos_sym='.', direction=2
new_pos=(6, 71), new_pos_sym='.', direction=2
new_pos=(5, 71), new_pos_sym='.', direction=2
new_pos=(4, 71), new_pos_sym='.', direction=2
new_pos=(3, 71), new_pos_sym='.', direction=2
new_pos=(2, 71), new_pos_sym='.', direction=2
new_pos=(1, 71), new_pos_sym='.', direction=2
new_pos=(0, 71), new_pos_sym='.', direction=2
one beam left the map
new_pos=(10, 71), new_pos_sym='.', direction=-2
new_pos=(11, 71), new_pos_sym='.', direction=-2
new_pos=(12, 71), new_pos_sym='.', direction=-2
new_pos=(13, 71), new_pos_sym='.', direction=-2
new_pos=(14, 71), new_pos_sym='.', direction=-2
new_pos=(15, 71), new_pos_sym='.', direction=-2
new_pos=(16, 71), new_pos_sym='.', direction=-2
new_pos=(17, 71), new_pos_sym='.', direction=-2
new_pos=(18, 71), new_pos_sym='.', direction=-2
new_pos=(19, 71), new_pos_sym='.', direction=-2
new_pos=(20, 71), new_pos_sym='.', direction=-2
new_pos=(21, 71), new_pos_sym='.', direction=-2
new_pos=(22, 71), new_pos_sym='.', direction=-2
new_pos=(23, 71), new_pos_sym='.', direction=-2
new_pos=(24, 71), new_pos_sym='.', direction=-2
new_pos=(25, 71), new_pos_sym='.', direction=-2
new_pos=(26, 71), new_pos_sym='|', direction=-2
new_pos=(27, 71), new_pos_sym='.', direction=-2
new_pos=(28, 71), new_pos_sym='.', direction=-2
new_pos=(29, 71), new_pos_sym='.', direction=-2
new_pos=(30, 71), new_pos_sym='.', direction=-2
new_pos=(31, 71), new_pos_sym='.', direction=-2
new_pos=(32, 71), new_pos_sym='.', direction=-2
new_pos=(33, 71), new_pos_sym='.', direction=-2
new_pos=(34, 71), new_pos_sym='.', direction=-2
new_pos=(35, 71), new_pos_sym='.', direction=-2
new_pos=(36, 71), new_pos_sym='.', direction=-2
new_pos=(37, 71), new_pos_sym='.', direction=-2
new_pos=(38, 71), new_pos_sym='.', direction=-2
new_pos=(39, 71), new_pos_sym='.', direction=-2
new_pos=(40, 71), new_pos_sym='\\', direction=-2
new_pos=(40, 72), new_pos_sym='.', direction=1
new_pos=(40, 73), new_pos_sym='.', direction=1
new_pos=(40, 74), new_pos_sym='.', direction=1
new_pos=(40, 75), new_pos_sym='.', direction=1
new_pos=(40, 76), new_pos_sym='.', direction=1
new_pos=(40, 77), new_pos_sym='.', direction=1
new_pos=(40, 78), new_pos_sym='.', direction=1
new_pos=(40, 79), new_pos_sym='/', direction=1
new_pos=(39, 79), new_pos_sym='.', direction=2
new_pos=(38, 79), new_pos_sym='.', direction=2
new_pos=(37, 79), new_pos_sym='.', direction=2
new_pos=(36, 79), new_pos_sym='.', direction=2
new_pos=(35, 79), new_pos_sym='.', direction=2
new_pos=(34, 79), new_pos_sym='.', direction=2
new_pos=(33, 79), new_pos_sym='.', direction=2
new_pos=(32, 79), new_pos_sym='.', direction=2
new_pos=(31, 79), new_pos_sym='.', direction=2
new_pos=(30, 79), new_pos_sym='.', direction=2
new_pos=(29, 79), new_pos_sym='.', direction=2
new_pos=(28, 79), new_pos_sym='.', direction=2
new_pos=(27, 79), new_pos_sym='.', direction=2
new_pos=(26, 79), new_pos_sym='.', direction=2
new_pos=(25, 79), new_pos_sym='\\', direction=2
new_pos=(25, 78), new_pos_sym='.', direction=-1
new_pos=(25, 77), new_pos_sym='.', direction=-1
new_pos=(25, 76), new_pos_sym='.', direction=-1
new_pos=(25, 75), new_pos_sym='.', direction=-1
new_pos=(25, 74), new_pos_sym='.', direction=-1
new_pos=(25, 73), new_pos_sym='.', direction=-1
new_pos=(25, 72), new_pos_sym='.', direction=-1
new_pos=(25, 71), new_pos_sym='.', direction=-1
new_pos=(25, 70), new_pos_sym='.', direction=-1
new_pos=(25, 69), new_pos_sym='.', direction=-1
new_pos=(25, 68), new_pos_sym='.', direction=-1
new_pos=(25, 67), new_pos_sym='.', direction=-1
new_pos=(25, 66), new_pos_sym='.', direction=-1
new_pos=(25, 65), new_pos_sym='.', direction=-1
new_pos=(25, 64), new_pos_sym='.', direction=-1
new_pos=(25, 63), new_pos_sym='-', direction=-1
new_pos=(25, 62), new_pos_sym='.', direction=-1
new_pos=(25, 61), new_pos_sym='/', direction=-1
new_pos=(26, 61), new_pos_sym='.', direction=-2
new_pos=(27, 61), new_pos_sym='.', direction=-2
new_pos=(28, 61), new_pos_sym='.', direction=-2
new_pos=(29, 61), new_pos_sym='.', direction=-2
new_pos=(30, 61), new_pos_sym='.', direction=-2
new_pos=(31, 61), new_pos_sym='.', direction=-2
new_pos=(32, 61), new_pos_sym='.', direction=-2
new_pos=(33, 61), new_pos_sym='.', direction=-2
new_pos=(34, 61), new_pos_sym='.', direction=-2
new_pos=(35, 61), new_pos_sym='.', direction=-2
new_pos=(36, 61), new_pos_sym='.', direction=-2
new_pos=(37, 61), new_pos_sym='.', direction=-2
new_pos=(38, 61), new_pos_sym='.', direction=-2
new_pos=(39, 61), new_pos_sym='.', direction=-2
new_pos=(40, 61), new_pos_sym='.', direction=-2
new_pos=(41, 61), new_pos_sym='.', direction=-2
new_pos=(42, 61), new_pos_sym='.', direction=-2
new_pos=(43, 61), new_pos_sym='.', direction=-2
new_pos=(44, 61), new_pos_sym='.', direction=-2
new_pos=(45, 61), new_pos_sym='|', direction=-2
new_pos=(46, 61), new_pos_sym='.', direction=-2
new_pos=(47, 61), new_pos_sym='-', direction=-2
new_pos=(47, 60), new_pos_sym='.', direction=-1
new_pos=(47, 59), new_pos_sym='.', direction=-1
new_pos=(47, 58), new_pos_sym='|', direction=-1
new_pos=(46, 58), new_pos_sym='.', direction=2
new_pos=(45, 58), new_pos_sym='.', direction=2
new_pos=(44, 58), new_pos_sym='.', direction=2
new_pos=(43, 58), new_pos_sym='.', direction=2
new_pos=(42, 58), new_pos_sym='.', direction=2
new_pos=(41, 58), new_pos_sym='.', direction=2
new_pos=(40, 58), new_pos_sym='.', direction=2
new_pos=(39, 58), new_pos_sym='.', direction=2
new_pos=(38, 58), new_pos_sym='.', direction=2
new_pos=(37, 58), new_pos_sym='.', direction=2
new_pos=(36, 58), new_pos_sym='.', direction=2
new_pos=(35, 58), new_pos_sym='/', direction=2
new_pos=(35, 59), new_pos_sym='.', direction=1
new_pos=(35, 60), new_pos_sym='.', direction=1
new_pos=(35, 61), new_pos_sym='.', direction=1
new_pos=(35, 62), new_pos_sym='.', direction=1
new_pos=(35, 63), new_pos_sym='.', direction=1
new_pos=(35, 64), new_pos_sym='.', direction=1
new_pos=(35, 65), new_pos_sym='.', direction=1
new_pos=(35, 66), new_pos_sym='/', direction=1
new_pos=(34, 66), new_pos_sym='/', direction=2
new_pos=(34, 67), new_pos_sym='.', direction=1
new_pos=(34, 68), new_pos_sym='.', direction=1
new_pos=(34, 69), new_pos_sym='.', direction=1
new_pos=(34, 70), new_pos_sym='.', direction=1
new_pos=(34, 71), new_pos_sym='.', direction=1
new_pos=(34, 72), new_pos_sym='.', direction=1
new_pos=(34, 73), new_pos_sym='.', direction=1
new_pos=(34, 74), new_pos_sym='.', direction=1
new_pos=(34, 75), new_pos_sym='.', direction=1
new_pos=(34, 76), new_pos_sym='.', direction=1
new_pos=(34, 77), new_pos_sym='.', direction=1
new_pos=(34, 78), new_pos_sym='.', direction=1
new_pos=(34, 79), new_pos_sym='.', direction=1
new_pos=(34, 80), new_pos_sym='.', direction=1
new_pos=(34, 81), new_pos_sym='.', direction=1
new_pos=(34, 82), new_pos_sym='.', direction=1
new_pos=(34, 83), new_pos_sym='.', direction=1
new_pos=(34, 84), new_pos_sym='.', direction=1
new_pos=(34, 85), new_pos_sym='.', direction=1
new_pos=(34, 86), new_pos_sym='.', direction=1
new_pos=(34, 87), new_pos_sym='.', direction=1
new_pos=(34, 88), new_pos_sym='.', direction=1
new_pos=(34, 89), new_pos_sym='.', direction=1
new_pos=(34, 90), new_pos_sym='.', direction=1
new_pos=(34, 91), new_pos_sym='.', direction=1
new_pos=(34, 92), new_pos_sym='.', direction=1
new_pos=(34, 93), new_pos_sym='.', direction=1
new_pos=(34, 94), new_pos_sym='.', direction=1
new_pos=(34, 95), new_pos_sym='.', direction=1
new_pos=(34, 96), new_pos_sym='.', direction=1
new_pos=(34, 97), new_pos_sym='.', direction=1
new_pos=(34, 98), new_pos_sym='.', direction=1
new_pos=(34, 99), new_pos_sym='.', direction=1
new_pos=(34, 100), new_pos_sym='.', direction=1
new_pos=(34, 101), new_pos_sym='.', direction=1
new_pos=(34, 102), new_pos_sym='.', direction=1
new_pos=(34, 103), new_pos_sym='.', direction=1
new_pos=(34, 104), new_pos_sym='.', direction=1
new_pos=(34, 105), new_pos_sym='.', direction=1
new_pos=(34, 106), new_pos_sym='.', direction=1
new_pos=(34, 107), new_pos_sym='.', direction=1
new_pos=(34, 108), new_pos_sym='.', direction=1
new_pos=(34, 109), new_pos_sym='.', direction=1
one beam left the map
new_pos=(48, 58), new_pos_sym='.', direction=-2
new_pos=(49, 58), new_pos_sym='.', direction=-2
new_pos=(50, 58), new_pos_sym='.', direction=-2
new_pos=(51, 58), new_pos_sym='.', direction=-2
new_pos=(52, 58), new_pos_sym='.', direction=-2
new_pos=(53, 58), new_pos_sym='.', direction=-2
new_pos=(54, 58), new_pos_sym='.', direction=-2
new_pos=(55, 58), new_pos_sym='.', direction=-2
new_pos=(56, 58), new_pos_sym='.', direction=-2
new_pos=(57, 58), new_pos_sym='.', direction=-2
new_pos=(58, 58), new_pos_sym='.', direction=-2
new_pos=(59, 58), new_pos_sym='.', direction=-2
new_pos=(60, 58), new_pos_sym='.', direction=-2
new_pos=(61, 58), new_pos_sym='.', direction=-2
new_pos=(62, 58), new_pos_sym='.', direction=-2
new_pos=(63, 58), new_pos_sym='.', direction=-2
new_pos=(64, 58), new_pos_sym='.', direction=-2
new_pos=(65, 58), new_pos_sym='.', direction=-2
new_pos=(66, 58), new_pos_sym='.', direction=-2
new_pos=(67, 58), new_pos_sym='.', direction=-2
new_pos=(68, 58), new_pos_sym='.', direction=-2
new_pos=(69, 58), new_pos_sym='.', direction=-2
new_pos=(70, 58), new_pos_sym='.', direction=-2
new_pos=(71, 58), new_pos_sym='.', direction=-2
new_pos=(72, 58), new_pos_sym='.', direction=-2
new_pos=(73, 58), new_pos_sym='.', direction=-2
new_pos=(74, 58), new_pos_sym='.', direction=-2
new_pos=(75, 58), new_pos_sym='.', direction=-2
new_pos=(76, 58), new_pos_sym='.', direction=-2
new_pos=(77, 58), new_pos_sym='.', direction=-2
new_pos=(78, 58), new_pos_sym='.', direction=-2
new_pos=(79, 58), new_pos_sym='\\', direction=-2
new_pos=(79, 59), new_pos_sym='.', direction=1
new_pos=(79, 60), new_pos_sym='.', direction=1
new_pos=(79, 61), new_pos_sym='.', direction=1
new_pos=(79, 62), new_pos_sym='.', direction=1
new_pos=(79, 63), new_pos_sym='.', direction=1
new_pos=(79, 64), new_pos_sym='.', direction=1
new_pos=(79, 65), new_pos_sym='.', direction=1
new_pos=(79, 66), new_pos_sym='.', direction=1
new_pos=(79, 67), new_pos_sym='.', direction=1
new_pos=(79, 68), new_pos_sym='.', direction=1
new_pos=(79, 69), new_pos_sym='.', direction=1
new_pos=(79, 70), new_pos_sym='.', direction=1
new_pos=(79, 71), new_pos_sym='/', direction=1
new_pos=(78, 71), new_pos_sym='-', direction=2
new_pos=(78, 70), new_pos_sym='.', direction=-1
new_pos=(78, 69), new_pos_sym='.', direction=-1
new_pos=(78, 68), new_pos_sym='.', direction=-1
new_pos=(78, 67), new_pos_sym='.', direction=-1
new_pos=(78, 66), new_pos_sym='.', direction=-1
new_pos=(78, 65), new_pos_sym='.', direction=-1
new_pos=(78, 64), new_pos_sym='/', direction=-1
new_pos=(79, 64), new_pos_sym='.', direction=-2
new_pos=(80, 64), new_pos_sym='.', direction=-2
new_pos=(81, 64), new_pos_sym='.', direction=-2
new_pos=(82, 64), new_pos_sym='.', direction=-2
new_pos=(83, 64), new_pos_sym='\\', direction=-2
new_pos=(83, 65), new_pos_sym='.', direction=1
new_pos=(83, 66), new_pos_sym='.', direction=1
new_pos=(83, 67), new_pos_sym='.', direction=1
new_pos=(83, 68), new_pos_sym='.', direction=1
new_pos=(83, 69), new_pos_sym='\\', direction=1
new_pos=(84, 69), new_pos_sym='.', direction=-2
new_pos=(85, 69), new_pos_sym='.', direction=-2
new_pos=(86, 69), new_pos_sym='\\', direction=-2
new_pos=(86, 70), new_pos_sym='.', direction=1
new_pos=(86, 71), new_pos_sym='.', direction=1
new_pos=(86, 72), new_pos_sym='.', direction=1
new_pos=(86, 73), new_pos_sym='.', direction=1
new_pos=(86, 74), new_pos_sym='.', direction=1
new_pos=(86, 75), new_pos_sym='.', direction=1
new_pos=(86, 76), new_pos_sym='.', direction=1
new_pos=(86, 77), new_pos_sym='.', direction=1
new_pos=(86, 78), new_pos_sym='.', direction=1
new_pos=(86, 79), new_pos_sym='.', direction=1
new_pos=(86, 80), new_pos_sym='.', direction=1
new_pos=(86, 81), new_pos_sym='.', direction=1
new_pos=(86, 82), new_pos_sym='.', direction=1
new_pos=(86, 83), new_pos_sym='.', direction=1
new_pos=(86, 84), new_pos_sym='.', direction=1
new_pos=(86, 85), new_pos_sym='.', direction=1
new_pos=(86, 86), new_pos_sym='.', direction=1
new_pos=(86, 87), new_pos_sym='-', direction=1
new_pos=(86, 88), new_pos_sym='/', direction=1
new_pos=(85, 88), new_pos_sym='.', direction=2
new_pos=(84, 88), new_pos_sym='.', direction=2
new_pos=(83, 88), new_pos_sym='.', direction=2
new_pos=(82, 88), new_pos_sym='.', direction=2
new_pos=(81, 88), new_pos_sym='.', direction=2
new_pos=(80, 88), new_pos_sym='.', direction=2
new_pos=(79, 88), new_pos_sym='.', direction=2
new_pos=(78, 88), new_pos_sym='.', direction=2
new_pos=(77, 88), new_pos_sym='.', direction=2
new_pos=(76, 88), new_pos_sym='.', direction=2
new_pos=(75, 88), new_pos_sym='.', direction=2
new_pos=(74, 88), new_pos_sym='.', direction=2
new_pos=(73, 88), new_pos_sym='.', direction=2
new_pos=(72, 88), new_pos_sym='.', direction=2
new_pos=(71, 88), new_pos_sym='.', direction=2
new_pos=(70, 88), new_pos_sym='|', direction=2
new_pos=(69, 88), new_pos_sym='.', direction=2
new_pos=(68, 88), new_pos_sym='.', direction=2
new_pos=(67, 88), new_pos_sym='.', direction=2
new_pos=(66, 88), new_pos_sym='.', direction=2
new_pos=(65, 88), new_pos_sym='.', direction=2
new_pos=(64, 88), new_pos_sym='.', direction=2
new_pos=(63, 88), new_pos_sym='.', direction=2
new_pos=(62, 88), new_pos_sym='.', direction=2
new_pos=(61, 88), new_pos_sym='.', direction=2
new_pos=(60, 88), new_pos_sym='.', direction=2
new_pos=(59, 88), new_pos_sym='.', direction=2
new_pos=(58, 88), new_pos_sym='.', direction=2
new_pos=(57, 88), new_pos_sym='.', direction=2
new_pos=(56, 88), new_pos_sym='.', direction=2
new_pos=(55, 88), new_pos_sym='.', direction=2
new_pos=(54, 88), new_pos_sym='.', direction=2
new_pos=(53, 88), new_pos_sym='.', direction=2
new_pos=(52, 88), new_pos_sym='.', direction=2
new_pos=(51, 88), new_pos_sym='.', direction=2
new_pos=(50, 88), new_pos_sym='.', direction=2
new_pos=(49, 88), new_pos_sym='.', direction=2
new_pos=(48, 88), new_pos_sym='.', direction=2
new_pos=(47, 88), new_pos_sym='.', direction=2
new_pos=(46, 88), new_pos_sym='.', direction=2
new_pos=(45, 88), new_pos_sym='.', direction=2
new_pos=(44, 88), new_pos_sym='.', direction=2
new_pos=(43, 88), new_pos_sym='.', direction=2
new_pos=(42, 88), new_pos_sym='.', direction=2
new_pos=(41, 88), new_pos_sym='.', direction=2
new_pos=(40, 88), new_pos_sym='-', direction=2
new_pos=(40, 87), new_pos_sym='.', direction=-1
new_pos=(40, 86), new_pos_sym='.', direction=-1
new_pos=(40, 85), new_pos_sym='.', direction=-1
new_pos=(40, 84), new_pos_sym='.', direction=-1
new_pos=(40, 83), new_pos_sym='.', direction=-1
new_pos=(40, 82), new_pos_sym='|', direction=-1
new_pos=(39, 82), new_pos_sym='.', direction=2
new_pos=(38, 82), new_pos_sym='.', direction=2
new_pos=(37, 82), new_pos_sym='.', direction=2
new_pos=(36, 82), new_pos_sym='.', direction=2
new_pos=(35, 82), new_pos_sym='.', direction=2
new_pos=(34, 82), new_pos_sym='.', direction=2
new_pos=(33, 82), new_pos_sym='.', direction=2
new_pos=(32, 82), new_pos_sym='.', direction=2
new_pos=(31, 82), new_pos_sym='.', direction=2
